OP;MARCA;ARTICULO;DESCRIPCION;RUBRO;STOCK_TXT;PVC;IVA;II;MKUP;PVL;OFF;IMAGEN_URL_1;IMAGEN_URL_2;IMAGEN_URL_3;IMAGEN_URL_4;IMAGEN_URL_5;NUEVO_INGRESO
5515;PEARL;DMP905P/C 262;"Bateria  | Decade Maple Series | 5 cuerpos | Sin Fierros  | B20""x16 | TT10""x7 | TT12""x8   | TF14""x14 | R14""x5 |  Maple  | 262 Classic Satin Amburst";Baterias Acusticas;>10;1359676.5;0.21;0;0.45;2385552.425;;https://todomusica.com.ar/13085-large_default/img.jpg;;;;;
5515;PEARL;DMP905P/C 884;"Bateria | Decade Maple Series | 5 cuerpos | Sin Fierros | B20""x16 | TT10""x7 | TT12""x8 | TF14""x14 | R14""x5.5 | All Maple Shell | 884 Ice Mint";Baterias Acusticas;<10;1359676.5;0.21;0;0.45;2385552.425;;https://todomusica.com.ar/31027-large_default/img.jpg; https://todomusica.com.ar/31028-large_default/img.jpg;;;;
5515;PEARL;DMP905P/C 899;"Bateria | Decade Maple Series | 5 cuerpos | Sin Fierros | B20""x16 | TT10""x7 | TT12""x8 | TF14""x14 | R14""x5.5 | All Maple Shell | 899 Matte Racing Red";Baterias Acusticas;<10;1359676.5;0.21;0;0.45;2385552.425;;https://todomusica.com.ar/31025-large_default/img.jpg; https://todomusica.com.ar/31026-large_default/img.jpg;;;;
5515;PEARL;DMP925SP/C 207;"Bateria | Decade Maple Series | 5 cuerpos | Sin Fierros | B22""x18 | TT10""x7 | TT12""x8 | TF16""x16 | R14""x5.5 | All Maple Shell | 207 Ultramarine Velvet";Baterias Acusticas;<10;1410547.32;0.21;0;0.45;2474805.268;;https://todomusica.com.ar/31030-large_default/img.jpg;;;;;
5515;PEARL;DMP925SP/C 215;"Bateria  | Decade Maple Series | 5 cuerpos | Sin Fierros  | B22""x18 | TT10""x7 | TT12""x8   | TF16""x16 | R14""x5 |  Maple  | 215 Satin Gold Meringue";Baterias Acusticas;<10;1489990.22;0.21;0;0.45;2614187.842;;https://todomusica.com.ar/27456-large_default/img.jpg;;;;;
5515;PEARL;DMP925SP/C 227;"Bateria | Decade Maple Series | 5 cuerpos | Sin Fierros | B22""x18 | TT10""x7 | TT12""x8 | TF16""x16 | R14""x5.5 | All Maple Shell | 227 Satin Slate Black";Baterias Acusticas;>10;1410547.32;0.21;0;0.45;2474805.268;;https://todomusica.com.ar/31020-large_default/img.jpg;;;;;
5515;PEARL;DMP925SP/C 260;"Bateria  | Decade Maple Series | 5 cuerpos | Sin Fierros  | B22""x18 | TT10""x7 | TT12""x8   | TF16""x16 | R14""x5 |  Maple  | 260 Satin Brown Burst";Baterias Acusticas;>10;1410547.32;0.21;0;0.45;2474805.268;;https://todomusica.com.ar/13094-large_default/img.jpg;;;;;
5515;PEARL;DMP925SP/C 262;"Bateria  | Decade Maple Series | 5 cuerpos | Sin Fierros  | B22""x18 | TT10""x7 | TT12""x8   | TF16""x16 | R14""x5 |  Maple  | 262 Classic Satin Amburst";Baterias Acusticas;>10;1410547.32;0.21;0;0.45;2474805.268;;https://todomusica.com.ar/13097-large_default/img.jpg;;;;;
5515;PEARL;DMP925SP/C 884;"Bateria | Decade Maple Series | 5 cuerpos | Sin Fierros | B22""x18 | TT10""x7 | TT12""x8 | TF16""x16 | R14""x5.5 | All Maple Shell | 884 Ice Mint";Baterias Acusticas;>10;1410547.32;0.21;0;0.45;2474805.268;;https://todomusica.com.ar/31018-large_default/img.jpg; https://todomusica.com.ar/31019-large_default/img.jpg;;;;
5515;PEARL;DMP925SP/C 899;"Bateria | Decade Maple Series | 5 cuerpos | Sin Fierros | B22""x18 | TT10""x7 | TT12""x8 | TF16""x16 | R14""x5.5 | All Maple Shell | 899 Matte Racing Red";Baterias Acusticas;<10;1410547.32;0.21;0;0.45;2474805.268;;https://todomusica.com.ar/31016-large_default/img.jpg; https://todomusica.com.ar/31017-large_default/img.jpg;;;;
5515;PEARL;DMP943XP/C 207;"Bateria | Decade Maple Series | 3 cuerpos | Sin Fierros | B24""x14 | TT13""x9 | TF16""x16 | All Maple Shell | 207 Ultramarine Velvet";Baterias Acusticas;<10;1104634.44;0.21;0;0.45;1938081.127;;;;;;;
5515;PEARL;DMP943XP/C 215;"Bateria  | Decade Maple Series | 3 cuerpos | Sin Fierros  | B24""x14 | TT13""x9 | TF16""x16 | Maple  | 215 Satin Gold Meringue";Baterias Acusticas;<10;1166848.14;0.21;0;0.45;2047235.058;;https://todomusica.com.ar/27425-large_default/img.jpg;;;;;
5515;PEARL;DMP943XP/C 227;"Bateria | Decade Maple Series | 3 cuerpos | Sin Fierros | B24""x14 | TT13""x9 | TF16""x16 | All Maple Shell | 227 Satin Slate Black";Baterias Acusticas;<10;1104634.44;0.21;0;0.45;1938081.127;;;;;;;
5515;PEARL;DMP943XP/C 260;"Bateria  | Decade Maple Series | 3 cuerpos | Sin Fierros  | B24""x14 | TT13""x9 | TF16""x16 | Maple  | 260 Satin Brown Burst";Baterias Acusticas;<10;1104634.44;0.21;0;0.45;1938081.127;;https://todomusica.com.ar/15810-large_default/img.jpg;;;;;
5515;PEARL;DMP943XP/C 262;"Bateria  | Decade Maple Series | 3 cuerpos | Sin Fierros  | B24""x14 | TT13""x9 | TF16""x16 | Maple  | 262 Satin Black Burst";Baterias Acusticas;<10;1104634.44;0.21;0;0.45;1938081.127;;https://todomusica.com.ar/27464-large_default/img.jpg;;;;;
5515;PEARL;DMP943XP/C 884;"Bateria | Decade Maple Series | 3 cuerpos | Sin Fierros | B24""x14 | TT13""x9 | TF16""x16 | All Maple Shell | 884 Ice Mint";Baterias Acusticas;<10;1104634.44;0.21;0;0.45;1938081.127;;;;;;;
5515;PEARL;DMP943XP/C 899;"Bateria | Decade Maple Series | 3 cuerpos | Sin Fierros | B24""x14 | TT13""x9 | TF16""x16 | All Maple Shell | 899 Matte Racing Red";Baterias Acusticas;<10;1104634.44;0.21;0;0.45;1938081.127;;;;;;;
5515;PEARL;DMP984P/C 207;"Bateria  | Jazz |Decade Maple Series | 4 cuerpos | Sin Fierros  | B18 x14 | TT12x8 | TF 14x14 | Redo 14x5;5| 207";Baterias Acusticas;<10;1169997.78;0.21;0;0.45;2052761.104;;;;;;;
5515;PEARL;DR-513C;Rack-Corralito p/Baterria | Curvo | 3 lados | l:111cm x alt:86cm ajustable | con  4 abraz. PCX-100  + 2 sop/adap p/ brazo de plato PCL-100;Soportes;<10;1037642.9;0.21;0;0.45;1820544.474;;https://todomusica.com.ar/28267-large_default/img.jpg; https://todomusica.com.ar/28268-large_default/img.jpg; https://todomusica.com.ar/28269-large_default/img.jpg; https://todomusica.com.ar/28270-large_default/img.jpg;;
