OP;MARCA;ARTICULO;DESCRIPCION;RUBRO;STOCK_TXT;PVC;IVA;II;MKUP;PVL;OFF;IMAGEN_URL_1;IMAGEN_URL_2;IMAGEN_URL_3;IMAGEN_URL_4;IMAGEN_URL_5;NUEVO_INGRESO
5580;QUIK LOK;GS/438;"Soporte universal para guitarra con estructura ""A"" - Negro";Soportes;>10;27946.37;0.21;0;0.45;49031.91;;https://todomusica.com.ar/28080-large_default/img.jpg; https://todomusica.com.ar/28081-large_default/img.jpg; https://todomusica.com.ar/28082-large_default/img.jpg; https://todomusica.com.ar/28083-large_default/img.jpg;0;
5580;QUIK LOK;GS/438-BB;"Soporte para guitarra, útil para guitarras eléctricas o acústicas, estructura ""A"" | 29x36x41.5cm | Peso 1,2 Kg | Construido en caño tubo, 30x15mm";Soportes;>10;24647.77;0.21;0;0.45;43244.517;;https://todomusica.com.ar/29735-large_default/img.jpg; https://todomusica.com.ar/29736-large_default/img.jpg; https://todomusica.com.ar/29737-large_default/img.jpg;0;0;
5580;QUIK LOK;GS/508;Soporte universal para guitarra con dispositivo autoblocante por peso - Negro;Soportes;>10;77150.3;0.21;0;0.45;135360.195;;https://todomusica.com.ar/28074-large_default/img.jpg; https://todomusica.com.ar/28075-large_default/img.jpg; https://todomusica.com.ar/28076-large_default/img.jpg; https://todomusica.com.ar/28077-large_default/img.jpg; https://todomusica.com.ar/28078-large_default/img.jpg;
5580;QUIK LOK;GS/528;Soporte universal para guitarra doble (2 guit) con dispositivo autoblocante por peso - Negro;Soportes;>10;112747.58;0.21;0;0.45;197815.628;;https://todomusica.com.ar/28072-large_default/img.jpg; https://todomusica.com.ar/28181-large_default/img.jpg; https://todomusica.com.ar/28182-large_default/img.jpg; https://todomusica.com.ar/28183-large_default/img.jpg;0;
5580;QUIK LOK;GS/538;Soporte universal triple para guitarra ACÚSTICA,  | altura 120cm, ancho 74cm | Horquilla autoblocante | de acero;Soportes;>10;154071.45;0.21;0;0.45;270318.356;;https://todomusica.com.ar/29731-large_default/img.jpg; https://todomusica.com.ar/29732-large_default/img.jpg; https://todomusica.com.ar/29733-large_default/img.jpg; https://todomusica.com.ar/29734-large_default/img.jpg;0;
5580;QUIK LOK;GS/701;Soporte de pared para guitarra con dispositivo autoblocante por peso - Negro;Soportes;>10;25380.81;0.21;0;0.45;44530.626;;https://todomusica.com.ar/28096-large_default/img.jpg; https://todomusica.com.ar/28097-large_default/img.jpg;0;0;0;
5580;QUIK LOK;GS/701L;Soporte de pared para guitarra, de brazo largo, con dispositivo autoblocante por peso - Negro;Soportes;>10;33856.34;0.21;0;0.45;59400.945;;https://todomusica.com.ar/28098-large_default/img.jpg; https://todomusica.com.ar/28099-large_default/img.jpg; https://todomusica.com.ar/28100-large_default/img.jpg; https://todomusica.com.ar/28101-large_default/img.jpg;0;
5580;QUIK LOK;IPS/12;Soporte universal para tablet | Anclaje lateral / superior a atril/pie de micrófono | Topes de plástico, recubiertos en goma | Ajustes de Inclinación y Rotación | Cambio fácil de visualización vertical a horizontal;Accesorios de Sonido;>10;67983.35;0.21;0;0.45;119276.791;;https://todomusica.com.ar/29723-large_default/img.jpg; https://todomusica.com.ar/29724-large_default/img.jpg; https://todomusica.com.ar/29725-large_default/img.jpg; https://todomusica.com.ar/29726-large_default/img.jpg;0;
5580;QUIK LOK;IPS/13;Soporte universal para tablet | Anclaje a soporte de teclado | Ancho/Alto 111 a 301mm | Espesor 6.9 a 18.7mm;Accesorios de Sonido;>10;84417.08;0.21;0;0.45;148109.772;;https://todomusica.com.ar/29727-large_default/img.jpg;0;0;0;0;
5580;QUIK LOK;J/JM-M-S;Conector Plug Mono 6.3mm  | Clip de cable de plástico negro | Cuerpo metálico, acabado Plata | Clavija dorada MCX6;Cables y Mangueras;>10;6551.365;0.21;0;0.45;11494.371;;https://todomusica.com.ar/29607-large_default/img.jpg;0;0;0;0;
